"prompt_id","building_type","main_style","ev1","ev1_style","ev2","ev2_style","ev3","ev3_style","ev4","ev4_style","ev5","ev5_style","ev6","ev6_style","ev7","ev7_style","ev8","ev8_style","ev9","ev9_style","ev10","ev10_style"
"1","cathedral","Gothic","pointed (lancet) arches","Gothic","soaring spires","Gothic","rose window with tracery","Gothic","flying buttresses","Gothic","ribbed vaults","Gothic","ziggurat stepped platform","Mesopotamian","horseshoe arches","Visigothic","pointed arches","Indo-Islamic","multi-storey pagoda","Japanese Buddhist temple","stepped stone temple","Javanese (Candi)"
"2","cathedral","Romanesque","rounded arches","Romanesque","thick massive walls","Romanesque","small windows","Romanesque","barrel & groin vaults","Romanesque","blind arcading","Romanesque","Doric/Ionic/Corinthian colonnade","Ancient Greek","central pendentive dome","Byzantine","ablaq striped masonry","Mamluk","multi-tier upturned-eave roof","Traditional Chinese","bell-shaped stupa","Burmese"
"3","cathedral","Norman","round arches","Norman","twin west towers","Norman","chevron (zigzag) mouldings","Norman","massive cylindrical piers","Norman","round arch","Norman","apadana hypostyle hall","Achaemenid Persian","alternating piers and columns","Ottonian","central onion dome","Mughal","inward-sloping massive walls","Tibetan","stepped stone temple","Javanese (Candi)"
"4","church","Brick Gothic","exposed red brick","Brick Gothic","stepped gables","Brick Gothic","pointed arches","Brick Gothic","minimal stone tracery","Brick Gothic","brick","Brick Gothic","ziggurat stepped platform","Mesopotamian","westwork facade","Carolingian","horseshoe & polylobed arches","Moorish","multi-tier upturned-eave roof","Traditional Chinese","hemispherical dagoba stupa","Sinhalese"
"5","palace","Venetian Gothic","ogee arches","Venetian Gothic","polychrome stone tracery","Venetian Gothic","loggias","Venetian Gothic","quatrefoil openings","Venetian Gothic","ogee","Venetian Gothic","apadana hypostyle hall","Achaemenid Persian","horseshoe arches","Visigothic","large central dome with semidomes","Ottoman","inward-sloping massive walls","Tibetan","hemispherical dagoba stupa","Sinhalese"
"6","church","Mudéjar","brick & tile geometric ornament","Mudéjar","horseshoe arches","Mudéjar","carved wooden ceilings (artesonado)","Mudéjar","blind arcading","Mudéjar","horseshoe","Mudéjar","podium temple","Etruscan","horseshoe arches","Visigothic","hypostyle prayer hall","Umayyad-Abbasid","inward-sloping massive walls","Tibetan","corncob/lotus prasat towers","Khmer (Angkorian)"
"7","palace","Renaissance","strict facade symmetry","Renaissance","round arches","Renaissance","classical orders & pilasters","Renaissance","entablature","Renaissance","rusticated base","Renaissance","downward-tapering columns","Minoan-Mycenaean","basilica churches","Coptic","large central dome with semidomes","Ottoman","gently curved tiled roof","Korean (Hanok)","curvilinear shikhara tower","North Indian temple (Nagara)"
"8","church","Baroque","dramatic broken/curved pediments","Baroque","Solomonic (twisted) columns","Baroque","rich sculptural relief","Baroque","undulating dynamic facades","Baroque","oval forms","Baroque","ziggurat stepped platform","Mesopotamian","alternating piers and columns","Ottonian","keel arches","Fatimid","multi-tier upturned-eave roof","Traditional Chinese","corncob/lotus prasat towers","Khmer (Angkorian)"
"9","palace","Mannerism","deliberate breaking of classical rules","Mannerism","exaggerated proportions","Mannerism","blind windows","Mannerism","tense ornament","Mannerism","symmetrical but distorted","Mannerism","downward-tapering columns","Minoan-Mycenaean","westwork facade","Carolingian","central onion dome","Mughal","inward-sloping massive walls","Tibetan","steep multi-tier roofs","Thai"
"10","mansion","Palladian","temple-front portico","Palladian","Palladian (Venetian) windows","Palladian","strict symmetry","Palladian","piano nobile","Palladian","symmetrical","Palladian","ziggurat stepped platform","Mesopotamian","thick walls","Pre-Romanesque","hypostyle prayer hall","Umayyad-Abbasid","gently curved tiled roof","Korean (Hanok)","bell-shaped stupa","Burmese"
